Date,Open,High,Low,Close,Volume,Change
2010-01-04,80691,80691,80551,80588,785403,-0.0019814732253430334
2010-01-05,80627,80742,80627,80764,6443,0.0021839479823297925
2010-01-06,80821,80872,80731,80751,10300,-0.00016096280521027404
2010-01-07,80765,80948,80751,80965,13231,0.0026501219799135445
2010-01-08,80992,81050,80892,80937,7663,-0.0003458284443895732
2010-01-11,80927,81125,80927,81114,7428,0.0021868860965936765
2010-01-12,81140,81155,81074,81153,16994,0.00048080479325385284
2010-01-13,81233,81233,81116,81248,15389,0.0011706283193473332
2010-01-14,81176,81241,81176,81243,34521,-6.153997636859644e-05
2010-01-15,81287,81323,81241,81260,6418,0.0002092487968194945
2010-01-18,81251,81251,81135,81157,5233,-0.0012675363032241815
2010-01-19,81150,81219,81140,81195,7879,0.0004682282489496537
2010-01-20,81251,81251,81175,81269,10579,0.0009113861690990266
2010-01-21,81283,81307,81252,81311,10372,0.0005168022247106219
2010-01-22,81355,81370,81298,81385,14259,0.0009100859662283244
2010-01-25,81334,81353,81307,81371,9180,-0.00017202187135223482
2010-01-26,81378,81404,81355,81423,10899,0.0006390483095943813
2010-01-27,81349,81523,81330,81423,15310,0.0
2010-01-28,81298,81330,81248,81325,15297,-0.0012035911229013596
2010-01-29,81326,81408,81311,81413,20099,0.0010820780817706321
2010-02-01,81431,81431,81374,81396,17180,-0.00020881186051369127
2010-02-02,81319,81428,81294,81445,33464,0.000601995184038584
2010-02-03,81424,81530,81424,81510,13864,0.0007980845969672856
2010-02-04,81476,81559,81476,81538,14322,0.00034351613298988504
2010-02-05,81710,81710,81595,81645,10270,0.0013122715788957966
2010-02-08,81593,81695,81572,81589,17329,-0.0006858962581909323
2010-02-09,81559,81599,81518,81589,21285,0.0
2010-02-10,81492,81548,81492,81547,14315,-0.0005147752760789048
2010-02-11,81692,81753,81541,81769,9710,0.00272235643248675
2010-02-12,81775,81898,81765,81915,22048,0.0017855177389964894
2010-02-16,81898,81916,81865,81915,8070,0.0
2010-02-17,81890,81894,81835,81893,7455,-0.00026857107977784617
2010-02-18,81840,81920,81728,81940,9273,0.0005739196268301773
2010-02-19,81826,81863,81779,81845,7335,-0.0011593849157920384
2010-02-22,81813,81813,81725,81782,13951,-0.00076974769381144
2010-02-23,81783,81822,81775,81800,15371,0.00022009733193129044
2010-02-24,81885,81968,81879,81985,9040,0.002261613691931564
2010-02-25,81983,82146,81949,82165,11855,0.002195523571385083
2010-02-26,82138,82138,82081,82138,5499,-0.00032860707113735454
2010-03-02,82098,82125,82076,82145,12332,8.52224305436522e-05
2010-03-03,82154,82220,82154,82223,9391,0.00094954044677098
2010-03-04,82219,82444,82219,82319,10573,0.001167556523113955
2010-03-05,82358,82406,82248,82336,61231,0.00020651368456858776
2010-03-08,82345,82345,82195,82250,63209,-0.0010445005829771148
2010-03-09,82260,82311,82248,82328,8456,0.0009483282674771498
2010-03-10,82399,82424,82381,82402,15029,0.0008988436497909813
2010-03-11,82424,82671,82420,82687,12245,0.0034586539161671767
2010-03-12,82699,82873,82699,82823,17493,0.0016447567332229518
2010-03-15,82810,82818,82705,82723,6845,-0.001207394081354174
2010-03-16,82822,82920,82774,82936,27342,0.0025748582619102844
2010-03-17,83071,83139,83050,83068,69411,0.0015915886948971725
2010-03-18,83047,83140,83031,83154,9323,0.0010352963836857132
2010-03-19,83208,83274,83126,83176,11097,0.0002645693532481453
2010-03-22,83163,83195,83145,83209,7284,0.0003967490622294178
2010-03-23,83278,83301,82991,83119,14514,-0.0010816137677415183
2010-03-24,83031,83031,82671,82863,84605,-0.0030799215582477672
2010-03-25,82633,83002,82633,83020,3691,0.001894693650966061
2010-03-26,83031,83149,82970,83099,5010,0.0009515779330282472
2010-03-29,83077,83077,82939,83012,11115,-0.0010469440065463687
2010-03-30,82903,82974,82861,82890,9897,-0.0014696670360911936
2010-03-31,82986,83069,82903,82928,10137,0.0004584388949209206
2010-04-01,83039,83047,82893,83065,6538,0.0016520355006752752
2010-04-02,83113,83168,83063,83128,9003,0.000758442183832031
2010-04-05,83116,83128,83055,83107,5376,-0.0002526224617457329
2010-04-06,83086,83113,82970,83128,11937,0.00025268629597996467
2010-04-07,83145,83233,83145,83251,9290,0.0014796458473678165
2010-04-08,83301,83386,83301,83405,11479,0.0018498276296980976
2010-04-09,83417,83478,83286,83363,17052,-0.0005035669324381375
2010-04-12,83312,83312,83180,83247,8869,-0.0013915046243537788
2010-04-13,83086,83229,83086,83201,9192,-0.0005525724650737862
2010-04-14,83086,83113,82990,83128,16543,-0.0008773933005612464
2010-04-15,83055,83117,82986,83119,7213,-0.00010826676931963151
2010-04-16,83192,83199,83098,83217,10700,0.00117903247151685
2010-04-19,83204,83333,83204,83348,15278,0.001574197579821357
2010-04-20,83311,83336,83237,83352,10590,4.799155348655937e-05
2010-04-21,83304,83338,83281,83329,12199,-0.00027593818984550383
2010-04-22,83320,83386,83320,83405,12528,0.0009120474264661117
