Date,Open,High,Low,Close,Volume,Daily_Return,cumprod,3 days,3 momentum,3 momentum cumprod
1980-01-04,100,100,100,100,,,,,,
1980-01-05,100.15,100.15,100.15,100.15,,1.0015,1.0015,0,,0
1980-01-07,102.53,102.53,102.53,102.53,,1.023764353,1.0253,0,,0
1980-01-08,105.28,105.28,105.28,105.28,,1.026821418,1.0528,1,1.010353343,1.010353343
1980-01-09,106.37,106.37,106.37,106.37,,1.010353343,1.0637,1,1.004700573,1.015102584
1980-01-10,106.87,106.87,106.87,106.87,,1.004700573,1.0687,1,0.982689249,0.997530395
1980-01-11,105.02,105.02,105.02,105.02,,0.982689249,1.0502,0,,0.997530395
1980-01-12,103.64,103.64,103.64,103.64,,0.986859646,1.0364,0,,0.997530395
1980-01-14,102.08,102.08,102.08,102.08,,0.984947897,1.0208,0,,0.997530395
1980-01-15,101.1,101.1,101.1,101.1,,0.990399687,1.011,0,,0.997530395
1980-01-16,101.65,101.65,101.65,101.65,,1.005440158,1.0165,0,,0.997530395
1980-01-17,101.97,101.97,101.97,101.97,,1.003148057,1.0197,0,,0.997530395
1980-01-18,101.13,101.13,101.13,101.13,,0.991762283,1.0113,1,1.000197765,0.997727672
1980-01-19,101.15,101.15,101.15,101.15,,1.000197765,1.0115,0,,0.997727672
1980-01-21,101.75,101.75,101.75,101.75,,1.005931784,1.0175,0,,0.997727672
1980-01-22,101.64,101.64,101.64,101.64,,0.998918919,1.0164,1,0.997933884,0.995666251
1980-01-23,101.43,101.43,101.43,101.43,,0.997933884,1.0143,1,0.992802918,0.98850036
1980-01-24,100.7,100.7,100.7,100.7,,0.992802918,1.007,0,,0.98850036
1980-01-25,103.17,103.17,103.17,103.17,,1.024528302,1.0317,1,0.996704468,0.985242726
1980-01-26,102.83,102.83,102.83,102.83,,0.996704468,1.0283,1,0.990664203,0.9760447
1980-01-28,101.87,101.87,101.87,101.87,,0.990664203,1.0187,1,1.006969667,0.982847406
1980-01-29,102.58,102.58,102.58,102.58,,1.006969667,1.0258,0,,0.982847406
1980-01-30,104.65,104.65,104.65,104.65,,1.020179372,1.0465,1,1.011849021,0.994493185
1980-01-31,105.89,105.89,105.89,105.89,,1.011849021,1.0589,1,0.986684295,0.981250808
1980-02-01,104.48,104.48,104.48,104.48,,0.986684295,1.0448,1,1.007848392,0.988952049
1980-02-02,105.3,105.3,105.3,105.3,,1.007848392,1.053,1,0.997150997,0.986134521
1980-02-04,105,105,105,105,,0.997150997,1.05,0,,0.986134521
1980-02-05,104.45,104.45,104.45,104.45,,0.994761905,1.0445,0,,0.986134521
1980-02-06,104.04,104.04,104.04,104.04,,0.996074677,1.0404,0,,0.986134521
1980-02-07,104.71,104.71,104.71,104.71,,1.006439831,1.0471,0,,0.986134521
1980-02-08,104.03,104.03,104.03,104.03,,0.993505873,1.0403,0,,0.986134521
1980-02-09,103.97,103.97,103.97,103.97,,0.999423243,1.0397,0,,0.986134521
1980-02-11,103.76,103.76,103.76,103.76,,0.997980187,1.0376,0,,0.986134521
1980-02-12,103.8,103.8,103.8,103.8,,1.000385505,1.038,0,,0.986134521
1980-02-13,104.02,104.02,104.02,104.02,,1.002119461,1.0402,1,1.003076331,0.989168198
1980-02-14,104.34,104.34,104.34,104.34,,1.003076331,1.0434,1,1.005367069,0.994477132
1980-02-15,104.9,104.9,104.9,104.9,,1.005367069,1.049,1,1.011248808,1.005663815
1980-02-16,106.08,106.08,106.08,106.08,,1.011248808,1.0608,1,0.992364253,0.997984821
1980-02-18,105.27,105.27,105.27,105.27,,0.992364253,1.0527,1,0.998385105,0.99637318
1980-02-19,105.1,105.1,105.1,105.1,,0.998385105,1.051,1,0.99961941,0.995993971
1980-02-20,105.06,105.06,105.06,105.06,,0.99961941,1.0506,0,,0.995993971
1980-02-21,104.61,104.61,104.61,104.61,,0.995716733,1.0461,0,,0.995993971
1980-02-22,104.39,104.39,104.39,104.39,,0.997896951,1.0439,0,,0.995993971
1980-02-23,104.69,104.69,104.69,104.69,,1.002873838,1.0469,0,,0.995993971
1980-02-25,104.32,104.32,104.32,104.32,,0.996465756,1.0432,0,,0.995993971
1980-02-26,103.69,103.69,103.69,103.69,,0.99396089,1.0369,0,,0.995993971
1980-02-27,103.5,103.5,103.5,103.5,,0.998167615,1.035,0,,0.995993971
1980-02-28,103.46,103.46,103.46,103.46,,0.999613527,1.0346,0,,0.995993971
1980-02-29,103.74,103.74,103.74,103.74,,1.00270636,1.0374,1,1.002120686,0.998106161
1980-03-03,103.96,103.96,103.96,103.96,,1.002120686,1.0396,1,0.998941901,0.997050066
1980-03-04,103.85,103.85,103.85,103.85,,0.998941901,1.0385,1,0.99046702,0.987545207
1980-03-05,102.86,102.86,102.86,102.86,,0.99046702,1.0286,0,,0.987545207
1980-03-06,102.76,102.76,102.76,102.76,,0.999027805,1.0276,0,,0.987545207
1980-03-07,103.57,103.57,103.57,103.57,,1.007882445,1.0357,0,,0.987545207
1980-03-08,103.89,103.89,103.89,103.89,,1.003089698,1.0389,1,0.994802195,0.98241214
1980-03-11,103.35,103.35,103.35,103.35,,0.994802195,1.0335,1,0.997871311,0.98032089
1980-03-12,103.13,103.13,103.13,103.13,,0.997871311,1.0313,0,,0.98032089
1980-03-13,103.26,103.26,103.26,103.26,,1.001260545,1.0326,0,,0.98032089
1980-03-14,103.08,103.08,103.08,103.08,,0.998256827,1.0308,0,,0.98032089
1980-03-15,104.16,104.16,104.16,104.16,,1.010477299,1.0416,1,0.994431644,0.974862114
1980-03-17,103.58,103.58,103.58,103.58,,0.994431644,1.0358,1,0.998358757,0.973262128
1980-03-18,103.41,103.41,103.41,103.41,,0.998358757,1.0341,1,0.997292331,0.970626856
1980-03-19,103.13,103.13,103.13,103.13,,0.997292331,1.0313,0,,0.970626856
1980-03-20,104.68,104.68,104.68,104.68,,1.015029574,1.0468,1,0.997611769,0.968308775
1980-03-21,104.43,104.43,104.43,104.43,,0.997611769,1.0443,1,1.001436369,0.969699624
1980-03-22,104.58,104.58,104.58,104.58,,1.001436369,1.0458,1,1.024000765,0.992973157
1980-03-24,107.09,107.09,107.09,107.09,,1.024000765,1.0709,1,0.994210477,0.987224316
1980-03-25,106.47,106.47,106.47,106.47,,0.994210477,1.0647,1,1.007044238,0.994178559
1980-03-26,107.22,107.22,107.22,107.22,,1.007044238,1.0722,1,0.992072375,0.986297084
1980-03-27,106.37,106.37,106.37,106.37,,0.992072375,1.0637,0,,0.986297084
1980-03-28,105.33,105.33,105.33,105.33,,0.990222807,1.0533,0,,0.986297084
1980-03-29,104.9,104.9,104.9,104.9,,0.995917592,1.049,0,,0.986297084
1980-03-31,105,105,105,105,,1.000953289,1.05,0,,0.986297084
1980-04-01,105.43,105.43,105.43,105.43,,1.004095238,1.0543,1,1.00294034,0.989197132
1980-04-02,105.74,105.74,105.74,105.74,,1.00294034,1.0574,1,1.009835445,0.998926326
